"long","lat","unique_squirrel_id","shift","date","age","primary_fur_color","activities","interaction","lat_long"
-73.9796142848349,40.7702117898305,"4A-PM-1007-04","PM",10072018,"Adult","Gray","foraging","indifferent","POINT (-73.9796142848349 40.7702117898305)"
-73.9767141407274,40.7737313251559,"8A-PM-1014-02","PM",10142018,"Juvenile","Gray","climbing","runs away","POINT (-73.9767141407274 40.7737313251559)"
-73.9756345867747,40.7675540517649,"3E-PM-1008-09","PM",10082018,"Adult","Gray","running","runs away","POINT (-73.9756345867747 40.7675540517649)"
-73.9524132295658,40.7933777553406,"37I-AM-1010-05","AM",10102018,"Adult","Gray","eating","runs away","POINT (-73.95241322956582 40.7933777553406)"
-73.9743873549635,40.7745426051392,"10C-AM-1018-04","AM",10182018,"Adult","Gray","running","indifferent","POINT (-73.9743873549635 40.7745426051392)"
-73.9639700434449,40.7775003050028,"17I-AM-1014-01","AM",10142018,"Adult","Cinnamon","running","indifferent","POINT (-73.9639700434449 40.7775003050028)"
-73.9701023478746,40.7803527061859,"17C-PM-1013-04","PM",10132018,"Adult","Gray","eating","indifferent","POINT (-73.9701023478746 40.7803527061859)"
-73.9635412640983,40.7902529354639,"30B-AM-1007-11","AM",10072018,"Adult","Gray","eating","indifferent","POINT (-73.9635412640983 40.7902529354639)"
-73.9584661589182,40.7912068380845,"33F-PM-1012-01","PM",10122018,"Adult","Gray","eating","indifferent","POINT (-73.9584661589182 40.7912068380845)"
-73.9688438058715,40.7703014325728,"8I-AM-1006-05","AM",10062018,"Adult","Gray","climbing","indifferent","POINT (-73.9688438058715 40.7703014325728)"
-73.9603471161869,40.7906003311747,"32E-PM-1017-15","PM",10172018,"Adult","Gray","foraging","runs away","POINT (-73.9603471161869 40.7906003311747)"
-73.9665763797607,40.7761316400012,"15H-AM-1013-03","AM",10132018,"Adult","Gray","climbing","indifferent","POINT (-73.9665763797607 40.7761316400012)"
-73.955710327539,40.7974510797567,"40D-AM-1013-03","AM",10132018,"Adult","Gray","running","indifferent","POINT (-73.955710327539 40.7974510797567)"
-73.9756825338299,40.7755542506699,"11A-PM-1013-02","PM",10132018,"Adult","Cinnamon","running","indifferent","POINT (-73.9756825338299 40.7755542506699)"
-73.9684806250183,40.7858776210151,"24A-PM-1007-03","PM",10072018,"Adult","Gray","running","indifferent","POINT (-73.9684806250183 40.7858776210151)"
-73.9561091686663,40.7981463047425,"41D-AM-1014-04","AM",10142018,"Adult","Gray","running","indifferent","POINT (-73.9561091686663 40.7981463047425)"
-73.9652134469963,40.7803438278765,"19F-PM-1017-05","PM",10172018,"Adult","Gray","running","runs away","POINT (-73.9652134469963 40.7803438278765)"
-73.9755041276839,40.7678213857557,"3F-AM-1006-13","AM",10062018,"Juvenile","Gray","running","approaches","POINT (-73.9755041276839 40.7678213857557)"
-73.9601561064548,40.7900513933531,"31E-PM-1006-08","PM",10062018,"Adult","Gray","foraging","indifferent","POINT (-73.9601561064548 40.7900513933531)"
-73.9581241870185,40.7961057536141,"38C-AM-1019-05","AM",10192018,"Adult","Gray","running","runs away","POINT (-73.9581241870185 40.7961057536141)"
-73.9576219570858,40.7963351225672,"38C-AM-1019-03","AM",10192018,"Juvenile","Gray","foraging","runs away","POINT (-73.9576219570858 40.7963351225672)"
-73.9575307970434,40.7983176419483,"40B-PM-1014-08","PM",10142018,"Adult","Gray","foraging","indifferent","POINT (-73.9575307970434 40.7983176419483)"
-73.9769106838192,40.7674414870702,"2E-AM-1010-05","AM",10102018,"Juvenile","Gray","climbing","indifferent","POINT (-73.9769106838192 40.7674414870702)"
